month,Incomplete RTT pathways_Median wait (weeks),Incomplete RTT pathways_92nd percentile (weeks),Incomplete RTT pathways_No. within 18 weeks,Incomplete RTT pathways_% within 18 weeks,Incomplete RTT pathways_No. > 18 weeks,Incomplete RTT pathways_No. > 52 weeks,Incomplete RTT pathways_% > 52 weeks,Incomplete RTT pathways_No. > 78 weeks,Incomplete RTT pathways_No. > 104 weeks,Incomplete RTT pathways_Total waiting (mil),Admitted (unadjusted) RTT pathways_Median wait (weeks),Admitted (unadjusted) RTT pathways_95th percentile (weeks),Admitted (unadjusted) RTT pathways_No. within 18 weeks,Admitted (unadjusted) RTT pathways_No. > 52 weeks,Admitted (unadjusted) RTT pathways_No. of pathways (all),NonAdmitted RTT pathways_Median wait (weeks),NonAdmitted RTT pathways_95th percentile (weeks),NonAdmitted RTT pathways_No. within 18 weeks,NonAdmitted RTT pathways_No. > 52 weeks,NonAdmitted RTT pathways_No. of pathways (all)
20-Nov,10.4,45.1,3040809,0.68,1419903,192169,0.04,,,4.46,10.8,52,135785,21261,222810,5.7,45.6,729888,23143,941542
20-Dec,11.2,47.4,3067658,0.68,1453675,224205,0.05,,,4.52,9.2,52,126349,16895,191541,5.2,45.4,680656,21507,847641
21-Jan,12.1,50.1,3038370,0.66,1554305,304044,0.07,,,4.59,7.8,52,102743,8726,139378,6.2,46.7,663722,20692,822218
21-Feb,12.6,52,3030448,0.65,1667900,387885,0.08,,,4.7,7.8,52,111890,11337,152642,5.9,48.4,653808,26063,819226
21-Mar,11.6,52,3186952,0.64,1763345,436127,0.09,,,4.95,8.9,52,148638,23733,220349,5.4,45.5,802184,39960,1013328
21-Apr,11,48.7,3311746,0.65,1811971,385379,0.08,64846,2608,5.12,11.1,68.4,135500,28987,223606,5.8,42.8,730879,36035,935418
21-May,10.8,45.3,3576159,0.67,1729266,336779,0.06,79055,3927,5.31,11.4,72.2,146711,31290,242793,5.9,43.2,753503,34536,955913
21-Jun,10.5,44.2,3749231,0.69,1704255,304823,0.06,85959,5727,5.45,11.1,73.5,171523,30950,275835,6,42.7,846744,33299,1063055
21-Jul,10.9,43.8,3828136,0.68,1779438,293102,0.05,102304,7980,5.61,10.7,74.3,167303,25551,260164,6.2,42,802830,28242,1002261
21-Aug,11.5,44.4,3865241,0.68,1850457,292138,0.05,121711,9754,5.72,10.3,74.6,154611,20551,232629,6.4,42.5,725295,25456,906690
21-Sep,11.9,44.5,3879621,0.67,1955374,301274,0.05,123969,12645,5.83,11.1,71.8,164412,22523,252930,7.3,43.7,812644,30788,1041007
21-Oct,12,44.4,3921948,0.66,2053268,312665,0.05,106171,16225,5.98,11.1,67.1,165080,23046,255128,7,44.5,792409,32435,1027112
21-Nov,11.5,42.9,3929317,0.66,2065839,306996,0.05,87386,18585,6,11.2,67.1,176073,25626,276535,7.1,44.6,871642,38761,1146467
21-Dec,12.5,43.4,3873658,0.64,2193668,310813,0.05,80059,20065,6.07,10,64.7,150379,19156,225912,6.6,43.5,729692,31684,946030
22-Jan,13,44.2,3834325,0.63,2269731,311528,0.05,75992,23778,6.1,11.2,66.5,146451,19356,226856,8,45.1,759575,34930,1011702
22-Feb,13.1,43.9,3871445,0.63,2311758,299478,0.05,68493,23281,6.18,12.3,69.4,152946,22814,247802,7.7,46.3,752611,36556,1010732
22-Mar,12,44.3,3968576,0.62,2389474,306286,0.05,62754,16796,6.36,12.4,70.3,172163,26460,282545,6.9,46.2,862804,41459,1157333
22-Apr,12.6,45,3997440,0.62,2484623,323093,0.05,63639,12735,6.48,11.4,65.7,143793,19958,233919,7,46.5,703744,33063,942179
22-May,12.7,45.3,4194013,0.64,2411554,331623,0.05,59762,8028,6.61,12.4,67.6,172941,26627,282535,7.9,48,820075,42752,1105622
22-Jun,13.3,45.7,4184599,0.62,2541034,355774,0.05,53911,3861,6.73,12.7,68.8,161482,26034,265878,7.8,48.9,759531,41745,1035045
22-Jul,13.3,45.9,4173669,0.61,2665004,377689,0.06,51838,2885,6.84,12,64.7,162553,24701,265098,7.6,48.8,743749,41969,1015337
22-Aug,13.8,46.4,4257514,0.61,2745742,387257,0.06,50888,2646,7,12,65,169406,25526,275828,7.7,50.2,767938,48088,1061667
22-Sep,14,46.8,4202684,0.59,2869145,401537,0.06,50539,2239,7.07,12.5,66.7,169931,27417,280872,8.6,51.6,769884,52900,1085392
